,Server_Utilization_Rate_Percent,IT_Equipment_Energy_kWh,Total_Facility_Energy_kWh,PUE_Power_Usage_Effectiveness,DCiE_Data_Center_Infrastructure_Efficiency_Percent,Grid_Carbon_Intensity_gCO2eq_per_kWh,Scope_2_Emissions_kgCO2eq,CUE_Carbon_Usage_Effectiveness_kgCO2eq_per_kWh,WUE_Water_Usage_Effectiveness_L_per_kWh,ERF_Energy_Reuse_Factor,Scope_1_Emissions_kgCO2eq,Scope_3_Emissions_Embodied_Carbon_kgCO2eq,E_Waste_Diversion_Rate_Percent,VM_Density_VMs_per_Host,ITEU_IT_Equipment_Utilization_Percent,Compute_Density_kW_per_Rack,Network_Equipment_Power_Percent_of_IT,ASHRAE_Thermal_Guideline_Conformance_Percent,Delta_T_Across_Racks_C,Cooling_System_Efficiency_kW_per_Ton,CFE_24_7_Carbon_Free_Energy_Score_Percent,Power_Factor,UPS_System_Efficiency_Percent,Server_Refresh_Cycle_Years,Circular_Economy_Percentage,Waste_Diversion_Rate_Percent,Scope_3_Water_Processing_Emissions_kgCO2eq
20/07/25 4:00,63.73,330.1,484.35,1.47,68.15,260.52,126.18,0.38,0.19,0.06,0,4.28,99.8,7,60.55,15.19,13.59,100,12.55,0.26,65.26,0.98,98.79,5.5,22,92,0.03
20/07/25 4:15,62.19,316.42,468.8,1.48,67.5,268.71,125.97,0.4,0.2,0.06,0,4.28,99.8,6,59.08,15.11,13.67,100,12.49,0.25,64.17,0.99,98.51,5.5,22,92,0.03
20/07/25 4:30,60.77,316.61,471.33,1.49,67.17,271.17,127.81,0.4,0.2,0.05,0,4.28,99.8,7,57.73,15.04,12.32,100,12.43,0.25,63.84,0.98,98.96,5.5,22,92,0.03
20/07/25 4:45,59.25,302.39,451.76,1.49,66.94,269.8,121.88,0.4,0.21,0.05,0,4.28,99.8,6,56.28,14.96,13.61,100,12.37,0.25,64.03,0.99,98.54,5.5,22,92,0.03
20/07/25 5:00,60.58,311.38,463.18,1.49,67.23,258.12,119.55,0.38,0.22,0.06,0,4.28,99.8,6,57.55,15.03,12.64,100,12.42,0.25,65.58,0.99,98.65,5.5,22,92,0.03
20/07/25 5:15,60.83,317.51,469.94,1.48,67.56,284.29,133.6,0.42,0.18,0.05,0,4.28,99.8,6,57.79,15.04,13.69,100,12.43,0.25,62.09,0.98,99,5.5,22,92,0.03
20/07/25 5:30,60.96,312.83,462.75,1.48,67.6,265.53,122.87,0.39,0.2,0.06,0,4.28,99.8,7,57.92,15.05,13.9,100,12.44,0.25,64.6,0.99,98.58,5.5,22,92,0.03
20/07/25 5:45,60.73,312.59,463.61,1.48,67.42,270.81,125.55,0.4,0.22,0.05,0,4.28,99.8,6,57.7,15.04,12.6,100,12.43,0.25,63.89,0.98,98.92,5.5,22,92,0.03
20/07/25 6:00,64.66,336.51,495.83,1.47,67.87,293.93,145.74,0.43,0.21,0.05,0,4.28,99.8,5,61.43,15.23,12.14,100,12.59,0.26,60.81,0.99,98.73,5.5,22,92,0.03
20/07/25 6:15,62.95,320.13,471.68,1.47,67.87,268.01,126.41,0.39,0.2,0.06,0,4.28,99.8,7,59.8,15.15,13.12,100,12.52,0.26,64.27,0.99,98.97,5.5,22,92,0.03
20/07/25 6:30,61.4,314.27,467.08,1.49,67.29,277.09,129.42,0.41,0.2,0.06,0,4.28,99.8,5,58.33,15.07,13.01,100,12.46,0.25,63.05,0.98,98.67,5.5,22,92,0.03
20/07/25 6:45,61.26,315.12,465.89,1.48,67.64,297.76,138.72,0.44,0.21,0.05,0,4.28,99.8,6,58.2,15.06,12.85,100,12.45,0.25,60.3,0.98,98.56,5.5,22,92,0.03
20/07/25 7:00,63.2,325.54,479.82,1.47,67.85,290.26,139.27,0.43,0.21,0.06,0,4.28,99.8,6,60.04,15.16,12.38,100,12.53,0.26,61.3,0.99,98.75,5.5,22,92,0.03
20/07/25 7:15,64.16,325.97,481.41,1.48,67.71,280.07,134.83,0.41,0.2,0.06,0,4.28,99.8,7,60.95,15.21,13.45,100,12.57,0.25,62.66,0.99,98.89,5.5,22,92,0.03
20/07/25 7:30,63.1,328.73,485.76,1.48,67.67,279.73,135.88,0.41,0.19,0.05,0,4.28,99.8,7,59.94,15.15,12.66,100,12.52,0.25,62.7,0.99,98.6,5.5,22,92,0.03
20/07/25 7:45,60.85,319.02,474.56,1.49,67.22,296.9,140.9,0.44,0.19,0.06,0,4.28,99.8,6,57.81,15.04,13.6,100,12.43,0.25,60.41,0.98,98.75,5.5,22,92,0.03
20/07/25 8:00,62.05,324.56,481.4,1.48,67.42,252.33,121.47,0.37,0.2,0.06,0,4.28,99.8,5,58.95,15.1,13.45,100,12.48,0.25,66.36,0.99,98.9,5.5,22,92,0.03
20/07/25 8:15,63.19,322.02,474.03,1.47,67.93,254.86,120.81,0.38,0.19,0.05,0,4.28,99.8,7,60.03,15.16,13.41,100,12.53,0.26,66.02,0.99,98.69,5.5,22,92,0.03
20/07/25 8:30,62.95,321.09,476.45,1.48,67.39,286.15,136.34,0.42,0.21,0.06,0,4.28,99.8,5,59.8,15.15,12.13,100,12.52,0.25,61.85,0.99,98.84,5.5,22,92,0.03
20/07/25 8:45,64.19,329.6,484.23,1.47,68.07,267.99,129.77,0.39,0.2,0.05,0,4.28,99.8,7,60.98,15.21,13.69,100,12.57,0.26,64.27,0.98,99,5.5,22,92,0.03
20/07/25 9:00,60.91,317.49,470.35,1.48,67.5,239.64,112.72,0.36,0.18,0.05,0,4.28,99.8,5,57.86,15.05,13.5,100,12.44,0.25,68.05,0.99,98.98,5.5,22,92,0.03
20/07/25 9:15,62.53,319.52,473.88,1.48,67.43,247.32,117.2,0.37,0.19,0.05,0,4.28,99.8,6,59.41,15.13,14,100,12.5,0.25,67.02,0.98,98.74,5.5,22,92,0.03
20/07/25 9:30,58.4,304.73,454.56,1.49,67.04,258.66,117.57,0.39,0.22,0.06,0,4.28,99.8,6,55.48,14.92,12.08,100,12.34,0.25,65.51,0.99,98.73,5.5,22,92,0.03
20/07/25 9:45,61.6,321.17,474.83,1.48,67.64,241.7,114.77,0.36,0.21,0.06,0,4.28,99.8,5,58.52,15.08,12.06,100,12.46,0.25,67.77,0.98,98.94,5.5,22,92,0.03
20/07/25 10:00,56.74,294.78,441.38,1.5,66.79,259.04,114.34,0.39,0.22,0.05,0,4.28,99.8,6,53.9,14.84,12.8,100,12.27,0.25,65.46,0.99,98.87,5.5,22,92,0.03
20/07/25 10:15,57.94,300.38,447.78,1.49,67.08,239.7,107.33,0.36,0.2,0.05,0,4.28,99.8,6,55.05,14.9,12.83,100,12.32,0.25,68.04,0.99,98.95,5.5,22,92,0.03
20/07/25 10:30,55.52,284.44,425.69,1.5,66.82,246.65,105,0.37,0.18,0.06,0,4.28,99.8,5,52.74,14.78,12.12,100,12.22,0.25,67.11,0.98,98.56,5.5,22,92,0.03
20/07/25 10:45,55.59,283.78,425.87,1.5,66.64,225.92,96.21,0.34,0.18,0.05,0,4.28,99.8,6,52.81,14.78,12.95,100,12.22,0.25,69.88,0.99,98.64,5.5,22,92,0.03
20/07/25 11:00,56.89,296.25,441.35,1.49,67.12,238.61,105.31,0.36,0.19,0.06,0,4.28,99.8,6,54.04,14.84,13.95,100,12.28,0.25,68.18,0.99,98.84,5.5,22,92,0.03
20/07/25 11:15,53.11,274.48,412.21,1.5,66.59,238.51,98.31,0.36,0.2,0.05,0,4.28,99.8,4,50.46,14.66,13.99,100,12.12,0.25,68.2,0.99,98.97,5.5,22,92,0.03
20/07/25 11:30,55.93,285.37,428.75,1.5,66.56,227.77,97.65,0.34,0.2,0.06,0,4.28,99.8,5,53.14,14.8,13.9,100,12.24,0.25,69.63,0.98,98.96,5.5,22,92,0.03
20/07/25 11:45,56.28,294.12,437.47,1.49,67.23,205.43,89.87,0.31,0.19,0.06,0,4.28,99.8,4,53.47,14.81,12.97,100,12.25,0.25,72.61,0.98,98.87,5.5,22,92,0.03
20/07/25 12:00,56.13,295.07,440.78,1.49,66.94,183.47,80.87,0.27,0.18,0.05,0,4.28,99.8,4,53.33,14.81,12.33,100,12.25,0.25,75.54,0.99,98.59,5.5,22,92,0.03
20/07/25 12:15,51.24,262.5,398.91,1.52,65.8,204.21,81.46,0.31,0.22,0.06,0,4.28,99.8,4,48.68,14.56,13.01,100,12.05,0.25,72.77,0.99,98.84,5.5,22,92,0.03
20/07/25 12:30,51.78,271.64,411.99,1.52,65.93,190.81,78.61,0.29,0.22,0.05,0,4.28,99.8,6,49.19,14.59,13.49,100,12.07,0.25,74.56,0.99,98.83,5.5,22,92,0.03
20/07/25 12:45,53.55,276.15,417.9,1.51,66.08,202.17,84.49,0.31,0.2,0.06,0,4.28,99.8,6,50.88,14.68,12.67,100,12.14,0.25,73.04,0.98,98.9,5.5,22,92,0.03
20/07/25 13:00,49.5,255.2,387.95,1.52,65.78,193.66,75.13,0.29,0.18,0.06,0,4.28,99.8,4,47.03,14.48,12.85,100,11.98,0.25,74.18,0.99,98.79,5.5,22,92,0.02
20/07/25 13:15,53.31,279.71,421.37,1.51,66.38,174.55,73.55,0.26,0.2,0.06,0,4.28,99.8,6,50.64,14.67,13.03,100,12.13,0.25,76.73,0.99,98.76,5.5,22,92,0.03
20/07/25 13:30,51.16,266.83,404.07,1.51,66.04,174.86,70.65,0.26,0.21,0.05,0,4.28,99.8,6,48.6,14.56,13.3,100,12.05,0.25,76.69,0.99,98.73,5.5,22,92,0.03
20/07/25 13:45,51.52,271.45,410.09,1.51,66.19,182.7,74.93,0.28,0.2,0.06,0,4.28,99.8,4,48.94,14.58,13.44,100,12.06,0.25,75.64,0.98,98.92,5.5,22,92,0.03
20/07/25 14:00,45.35,235.46,363.39,1.54,64.8,176.66,64.2,0.27,0.22,0.05,0,4.28,99.8,3,43.09,14.27,13.9,100,11.81,0.24,76.45,0.98,98.79,5.5,22,92,0.03
20/07/25 14:15,49.05,255.31,391.23,1.53,65.26,158.04,61.83,0.24,0.19,0.05,0,4.28,99.8,5,46.6,14.45,13.72,100,11.96,0.24,78.93,0.99,98.82,5.5,22,92,0.02
20/07/25 14:30,46.69,247.38,377.78,1.53,65.48,143.85,54.34,0.22,0.21,0.06,0,4.28,99.8,4,44.35,14.33,12.5,100,11.87,0.24,80.82,0.99,98.75,5.5,22,92,0.03
20/07/25 14:45,50.68,266.88,402.63,1.51,66.28,162.61,65.47,0.25,0.2,0.06,0,4.28,99.8,5,48.15,14.53,12.83,100,12.03,0.25,78.32,0.98,98.94,5.5,22,92,0.03
20/07/25 15:00,46.12,238.98,366.69,1.53,65.17,124.81,45.77,0.19,0.21,0.06,0,4.28,99.8,5,43.81,14.31,12.11,100,11.84,0.24,83.36,0.99,98.59,5.5,22,92,0.03
20/07/25 15:15,48.14,249.19,382.31,1.53,65.18,158.27,60.51,0.24,0.18,0.05,0,4.28,99.8,3,45.74,14.41,13.81,100,11.93,0.24,78.9,0.98,98.99,5.5,22,92,0.02
20/07/25 15:30,45.97,236.55,363.77,1.54,65.03,127.98,46.56,0.2,0.2,0.05,0,4.28,99.8,4,43.67,14.3,13.44,100,11.84,0.24,82.94,0.98,98.58,5.5,22,92,0.02
20/07/25 15:45,44.46,233.51,361.85,1.55,64.53,137.28,49.68,0.21,0.2,0.05,0,4.28,99.8,5,42.24,14.22,13.2,100,11.78,0.24,81.7,0.98,98.63,5.5,22,92,0.02
20/07/25 16:00,43.7,227.71,351.34,1.54,64.81,144.49,50.76,0.22,0.18,0.05,0,4.28,99.8,5,41.52,14.19,12.76,100,11.75,0.24,80.73,0.99,98.76,5.5,22,92,0.02
20/07/25 16:15,47.19,250.24,384.74,1.54,65.04,148.24,57.03,0.23,0.21,0.05,0,4.28,99.8,3,44.83,14.36,12.33,100,11.89,0.24,80.23,0.98,98.76,5.5,22,92,0.03
20/07/25 16:30,45.33,241.19,373.28,1.55,64.61,147.74,55.15,0.23,0.21,0.05,0,4.28,99.8,5,43.06,14.27,13.98,100,11.81,0.24,80.3,0.99,98.5,5.5,22,92,0.03
20/07/25 16:45,44.65,236.24,365.34,1.55,64.66,146.56,53.54,0.23,0.19,0.06,0,4.28,99.8,4,42.42,14.23,12.67,100,11.79,0.24,80.46,0.99,98.94,5.5,22,92,0.02
20/07/25 17:00,46.07,242,374.52,1.55,64.62,105.14,39.38,0.16,0.22,0.05,0,4.28,99.8,4,43.77,14.3,12.24,100,11.84,0.24,85.98,0.98,98.54,5.5,22,92,0.03
20/07/25 17:15,42.01,217.72,338.59,1.56,64.3,132.87,44.99,0.21,0.2,0.05,0,4.28,99.8,3,39.91,14.1,13.61,100,11.68,0.24,82.28,0.98,98.66,5.5,22,92,0.02
20/07/25 17:30,43.98,231.83,358.09,1.54,64.74,131.24,47,0.2,0.19,0.06,0,4.28,99.8,4,41.78,14.2,12.93,100,11.76,0.24,82.5,0.98,98.62,5.5,22,92,0.02
20/07/25 17:45,42.42,222.08,345.69,1.56,64.24,128.11,44.29,0.2,0.19,0.06,0,4.28,99.8,3,40.3,14.12,12.5,100,11.7,0.24,82.92,0.98,98.66,5.5,22,92,0.02
20/07/25 18:00,41.31,215,336.72,1.57,63.85,106.18,35.75,0.17,0.19,0.06,0,4.28,99.8,4,39.24,14.07,13.48,100,11.65,0.24,85.84,0.98,98.78,5.5,22,92,0.02
20/07/25 18:15,44.02,226.27,352.56,1.56,64.18,135.85,47.9,0.21,0.21,0.05,0,4.28,99.8,5,41.82,14.2,12.55,100,11.76,0.24,81.89,0.98,98.73,5.5,22,92,0.02
20/07/25 18:30,44.42,229.07,355.17,1.55,64.49,138.26,49.11,0.21,0.21,0.06,0,4.28,99.8,5,42.2,14.22,13.28,100,11.78,0.24,81.56,0.99,98.77,5.5,22,92,0.02
20/07/25 18:45,41.42,221.24,344.51,1.56,64.22,139.87,48.19,0.22,0.21,0.05,0,4.28,99.8,4,39.35,14.07,13.35,100,11.66,0.24,81.35,0.98,98.95,5.5,22,92,0.02
20/07/25 19:00,44.78,234.51,363.03,1.55,64.6,108.9,39.53,0.17,0.18,0.05,0,4.28,99.8,5,42.54,14.24,13.51,100,11.79,0.24,85.48,0.98,98.79,5.5,22,92,0.02
20/07/25 19:15,44.52,233.25,359.87,1.54,64.82,128.37,46.2,0.2,0.19,0.06,0,4.28,99.8,5,42.3,14.23,12.66,100,11.78,0.24,82.88,0.98,98.96,5.5,22,92,0.02
20/07/25 19:30,42.12,223.12,345.3,1.55,64.62,117.51,40.58,0.18,0.19,0.06,0,4.28,99.8,3,40.02,14.11,13.62,100,11.68,0.24,84.33,0.98,98.74,5.5,22,92,0.02
20/07/25 19:45,43.91,233.1,362.66,1.56,64.28,139.67,50.65,0.22,0.2,0.06,0,4.28,99.8,4,41.72,14.2,12.71,100,11.76,0.24,81.38,0.98,98.55,5.5,22,92,0.02
20/07/25 20:00,46.37,246.43,380.1,1.54,64.83,133.39,50.7,0.21,0.19,0.05,0,4.28,99.8,5,44.05,14.32,12.82,100,11.85,0.24,82.22,0.99,98.71,5.5,22,92,0.02
20/07/25 20:15,41.77,217.77,338.23,1.55,64.39,126.81,42.89,0.2,0.19,0.05,0,4.28,99.8,4,39.69,14.09,12.8,100,11.67,0.24,83.09,0.99,98.7,5.5,22,92,0.02
20/07/25 20:30,43.44,226.59,354.02,1.56,64,131.56,46.58,0.21,0.22,0.05,0,4.28,99.8,4,41.27,14.17,13.62,100,11.74,0.24,82.46,0.98,98.71,5.5,22,92,0.02
20/07/25 20:45,45.05,237.96,365.32,1.54,65.14,138.71,50.67,0.21,0.21,0.06,0,4.28,99.8,3,42.79,14.25,13.76,100,11.8,0.24,81.51,0.98,98.95,5.5,22,92,0.02
20/07/25 21:00,49.05,252.88,384.28,1.52,65.81,143.87,55.29,0.22,0.21,0.06,0,4.28,99.8,4,46.6,14.45,12.49,100,11.96,0.25,80.82,0.98,98.74,5.5,22,92,0.03
20/07/25 21:15,47,243.75,375.44,1.54,64.92,137.65,51.68,0.21,0.21,0.06,0,4.28,99.8,4,44.65,14.35,12.18,100,11.88,0.24,81.65,0.98,98.9,5.5,22,92,0.03
20/07/25 21:30,48.29,255.29,389.86,1.53,65.48,130.02,50.69,0.2,0.19,0.05,0,4.28,99.8,4,45.88,14.41,13.39,100,11.93,0.24,82.66,0.98,98.81,5.5,22,92,0.02
20/07/25 21:45,46.6,240.59,371.09,1.54,64.83,140.71,52.21,0.22,0.2,0.05,0,4.28,99.8,3,44.27,14.33,13.39,100,11.86,0.24,81.24,0.99,98.62,5.5,22,92,0.02
20/07/25 22:00,47.99,254.14,388.04,1.53,65.49,143.02,55.5,0.22,0.2,0.06,0,4.28,99.8,3,45.59,14.4,12.93,100,11.92,0.24,80.93,0.99,98.99,5.5,22,92,0.03
20/07/25 22:15,46.78,241.7,371.88,1.54,64.99,163.38,60.76,0.25,0.21,0.05,0,4.28,99.8,5,44.44,14.34,12.71,100,11.87,0.24,78.22,0.99,98.54,5.5,22,92,0.02
20/07/25 22:30,50.85,268.68,408.11,1.52,65.84,170.36,69.52,0.26,0.2,0.05,0,4.28,99.8,4,48.31,14.54,13.25,100,12.03,0.25,77.29,0.99,98.84,5.5,22,92,0.03
20/07/25 22:45,46.57,239.02,365.81,1.53,65.34,170.07,62.21,0.26,0.19,0.06,0,4.28,99.8,4,44.24,14.33,12.96,100,11.86,0.24,77.32,0.98,98.57,5.5,22,92,0.02
20/07/25 23:00,52.99,278.9,419.87,1.51,66.43,198.57,83.37,0.3,0.19,0.06,0,4.28,99.8,4,50.34,14.65,12.49,100,12.12,0.25,73.52,0.98,98.82,5.5,22,92,0.03
20/07/25 23:15,50.28,261.79,400.13,1.53,65.43,166.98,66.81,0.26,0.19,0.06,0,4.28,99.8,6,47.77,14.51,13.31,100,12.01,0.24,77.74,0.98,98.8,5.5,22,92,0.02
20/07/25 23:30,53.01,274.45,411.92,1.5,66.63,194.66,80.18,0.29,0.2,0.06,0,4.28,99.8,4,50.35,14.65,12.5,100,12.12,0.25,74.05,0.99,98.93,5.5,22,92,0.03
20/07/25 23:45,51.72,271.42,412.25,1.52,65.84,194.06,80,0.29,0.21,0.06,0,4.28,99.8,4,49.13,14.59,13.44,100,12.07,0.25,74.13,0.98,98.92,5.5,22,92,0.03
21/07/25 0:00,67.69,348.11,510.83,1.47,68.15,190.24,97.18,0.28,0.21,0.05,0,4.28,99.8,5,64.31,15.38,13.45,100,12.71,0.26,74.63,0.98,98.67,5.5,22,92,0.04
21/07/25 0:15,67.53,345.54,504.32,1.46,68.52,201.96,101.85,0.29,0.2,0.05,0,4.28,99.8,5,64.16,15.38,13.91,100,12.7,0.26,73.07,0.99,98.98,5.5,22,92,0.03
21/07/25 0:30,63.72,325.36,482.14,1.48,67.48,200.59,96.71,0.3,0.19,0.05,0,4.28,99.8,6,60.53,15.19,13.97,100,12.55,0.25,73.26,0.99,98.71,5.5,22,92,0.03
21/07/25 0:45,62.42,318.46,470.28,1.48,67.72,215.77,101.47,0.32,0.18,0.05,0,4.28,99.8,7,59.3,15.12,13.53,100,12.5,0.25,71.23,0.98,98.73,5.5,22,92,0.03
21/07/25 1:00,68.46,352.54,514.59,1.46,68.51,231.12,118.93,0.34,0.22,0.06,0,4.28,99.8,5,65.03,15.42,13.44,100,12.74,0.26,69.18,0.98,98.53,5.5,22,92,0.04
21/07/25 1:15,67.31,349.24,513.73,1.47,67.98,218.52,112.26,0.32,0.21,0.05,0,4.28,99.8,7,63.95,15.37,13.45,100,12.69,0.26,70.86,0.98,98.72,5.5,22,92,0.04
21/07/25 1:30,69.56,358.02,520.68,1.45,68.76,235.1,122.41,0.34,0.2,0.05,0,4.28,99.8,5,66.08,15.48,12.44,100,12.78,0.26,68.65,0.98,98.65,5.5,22,92,0.04
21/07/25 1:45,68.49,350.6,511.33,1.46,68.57,222.52,113.78,0.32,0.2,0.06,0,4.28,99.8,6,65.06,15.42,13.14,100,12.74,0.26,70.33,0.99,98.82,5.5,22,92,0.04
21/07/25 2:00,70.89,366.62,535.57,1.46,68.45,239.04,128.02,0.35,0.18,0.05,0,4.28,99.8,7,67.35,15.54,12.12,100,12.84,0.26,68.13,0.98,98.82,5.5,22,92,0.03
21/07/25 2:15,69.71,358.95,524.65,1.46,68.42,242.13,127.03,0.35,0.2,0.05,0,4.28,99.8,6,66.23,15.49,13.52,100,12.79,0.26,67.72,0.99,98.73,5.5,22,92,0.04
21/07/25 2:30,68.25,350.11,513.2,1.47,68.22,253.85,130.27,0.37,0.19,0.05,0,4.28,99.8,7,64.84,15.41,12.54,100,12.73,0.26,66.15,0.98,98.56,5.5,22,92,0.03
21/07/25 2:45,68.7,357.68,521.92,1.46,68.53,230,120.04,0.34,0.18,0.06,0,4.28,99.8,5,65.27,15.44,12.88,100,12.75,0.26,69.33,0.98,98.81,5.5,22,92,0.03
21/07/25 3:00,70.88,365.35,531.85,1.46,68.69,262,139.34,0.38,0.21,0.06,0,4.28,99.8,7,67.33,15.54,13.72,100,12.84,0.26,65.07,0.98,98.76,5.5,22,92,0.04
21/07/25 3:15,74.54,378.46,547.37,1.45,69.14,261.94,143.38,0.38,0.19,0.06,0,4.28,99.8,8,70.81,15.73,12.74,100,12.98,0.26,65.07,0.99,98.71,5.5,22,92,0.04
21/07/25 3:30,71.5,366.85,534.39,1.46,68.65,273.12,145.95,0.4,0.22,0.06,0,4.28,99.8,6,67.92,15.57,13.31,100,12.86,0.26,63.58,0.99,98.7,5.5,22,92,0.04
21/07/25 3:45,70.72,368.44,534.72,1.45,68.9,258.93,138.45,0.38,0.21,0.06,0,4.28,99.8,8,67.18,15.54,12.88,100,12.83,0.26,65.48,0.99,98.55,5.5,22,92,0.04
21/07/25 4:00,75.28,389.12,562.93,1.45,69.12,249.5,140.45,0.36,0.21,0.05,0,4.28,99.8,6,71.52,15.76,13.86,100,13.01,0.26,66.73,0.99,98.81,5.5,22,92,0.04
21/07/25 4:15,71.54,371.27,541.85,1.46,68.52,251.77,136.42,0.37,0.21,0.05,0,4.28,99.8,6,67.97,15.58,12.58,100,12.86,0.26,66.43,0.98,98.79,5.5,22,92,0.04
21/07/25 4:30,72.05,368.86,535.7,1.45,68.85,278.39,149.13,0.4,0.2,0.05,0,4.28,99.8,8,68.45,15.6,13.43,100,12.88,0.26,62.88,0.99,98.54,5.5,22,92,0.04
21/07/25 4:45,74.26,378.65,548.09,1.45,69.09,252.58,138.44,0.37,0.21,0.06,0,4.28,99.8,8,70.55,15.71,12.51,100,12.97,0.26,66.32,0.98,98.56,5.5,22,92,0.04
21/07/25 5:00,74.59,387.46,560.96,1.45,69.07,294.9,165.43,0.43,0.19,0.06,0,4.28,99.8,8,70.86,15.73,12.93,100,12.98,0.26,60.68,0.98,98.83,5.5,22,92,0.04
21/07/25 5:15,77.28,395.59,572.54,1.45,69.09,275.07,157.49,0.4,0.22,0.05,0,4.28,99.8,7,73.41,15.86,13.42,100,13.09,0.26,63.32,0.99,98.59,5.5,22,92,0.04
21/07/25 5:30,77.21,399.43,579.12,1.45,68.97,292.91,169.63,0.42,0.19,0.05,0,4.28,99.8,8,73.35,15.86,13.18,100,13.09,0.26,60.95,0.99,98.67,5.5,22,92,0.04
